id,school_code,school_ayid,message_code,type,message_text,link,feature_attachment_link,feature_attachment_type,posted_by_uuid,created,updated,blocked,actioned_by,asset_set_code,feature_asset_set_code,title,toc_subject_code,toc_book_code,toc_chapter_code,toc_topic_code,toc_class_level,event_start_time,event_end_time,sendsms,send_email,message_group,comment_setting,button_text,guru_subject_id,guru_chapter_id
531490,18701951,5,13926719,#doubt_forum,"If a particle moves from point P(2,3,4) to point Q(3,4,5). What will be the displacement vector?",NULL,NULL,NULL,691257980133,"2019-06-13 12:43:18","2019-06-13 12:43:18",0,691257980133,NULL,NULL,"If a particle moves from point P(2,3,4) to point Q(3,4,5). What will be the displacement vector?",NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,13926719,NULL,NULL,1,45
531643,100000001,2,15088797,#doubt_forum,"The mid-points of the sides of a triangles are (2,1),(-5,7) and (-5,-5). The equation of the sides are:",NULL,NULL,NULL,154202216073,"2019-06-14 15:19:58","2019-06-14 15:19:58",0,154202216073,NULL,NULL,"The mid-points of the sides of a triangles are (2,1),(-5,7) and (-5,-5). The equation of the sides are:",NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,15088797,NULL,NULL,1,5
531647,100000001,2,70505440,#doubt_forum,,NULL,NULL,NULL,149849847300,"2019-06-14 15:25:52","2019-06-14 15:25:52",0,149849847300,13078556,NULL,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,70505440,NULL,NULL,1,7
531648,100000001,2,82190304,#doubt_forum,"What are the number of normals that can be drawn from the point (1,0) to the parabola y&sup2; = 4x",NULL,NULL,NULL,279367718003,"2019-06-14 15:27:16","2019-06-14 15:27:16",0,279367718003,NULL,NULL,"What are the number of normals that can be drawn from the point (1,0) to the parabola y² = 4x",NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,82190304,NULL,NULL,1,9
531657,100000001,2,17055661,#doubt_forum,,NULL,NULL,NULL,100061583504,"2019-06-14 15:41:50","2019-06-14 15:41:50",0,100061583504,11591124,NULL,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,17055661,NULL,NULL,1,9
531675,72247573,5,69741901,#doubt_forum,"please solve this question",NULL,NULL,NULL,31464,"2019-06-14 19:13:40","2019-06-14 19:13:40",0,31464,12242362,NULL,"please solve this question",NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,69741901,NULL,NULL,1,126
531751,19828187,6,19686234,#doubt_forum,"what is factor theorem?",NULL,NULL,NULL,1926717,"2019-06-16 09:50:20","2019-06-16 09:50:20",0,1926717,NULL,NULL,"what is factor theorem?",NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,19686234,NULL,NULL,1,126
531755,72247573,5,18647954,#doubt_forum,"trigonometry doubt.. please solve this",NULL,NULL,NULL,31464,"2019-06-16 20:08:43","2019-06-16 20:08:43",0,31464,95519381,NULL,"trigonometry doubt.. please solve this",NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,18647954,NULL,NULL,1,131
531758,100000001,2,14486345,#doubt_forum,ques4,NULL,NULL,NULL,690532343096,"2019-06-16 22:35:24","2019-06-16 22:35:24",0,690532343096,17790835,NULL,ques4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,14486345,NULL,NULL,1,39
531920,18284043,6,21426914,#doubt_forum,,NULL,NULL,NULL,209405374704,"2019-06-18 20:35:01","2019-06-18 20:35:01",0,209405374704,19209129,NULL,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,21426914,NULL,NULL,3,31
532007,19560624,6,19391387,#doubt_forum,"why india is not in lausirus",NULL,NULL,NULL,157853773706,"2019-06-19 20:10:14","2019-06-19 20:10:14",0,157853773706,NULL,NULL,"why india is not in lausirus",NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,19391387,NULL,NULL,3,123
532010,18284043,6,16424926,#doubt_forum,"To find equivalent resistance of the infinite ladder",NULL,NULL,NULL,214578007004,"2019-06-19 22:00:38","2019-06-19 22:00:38",0,214578007004,12053659,NULL,"To find equivalent resistance of the infinite ladder",NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,16424926,NULL,NULL,3,67
532087,18284043,6,17050988,#doubt_forum,"What is the difference between quanta and photon??",NULL,NULL,NULL,164863459001,"2019-06-20 17:10:28","2019-06-20 17:10:28",0,164863459001,,NULL,"What is the difference between quanta and photon??",NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,17050988,NULL,NULL,2,13
532142,100000001,2,20556952,#doubt_forum,"thinner layer of the earth is called",NULL,NULL,NULL,116489071300,"2019-06-21 13:14:50","2019-06-21 13:14:50",0,116489071300,NULL,NULL,"thinner layer of the earth is called",NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,20556952,NULL,NULL,4,114
532204,100000001,2,79460959,#doubt_forum,"smoke when it was spread in  Delhi its harmful effects pollution level and how it can be prevented",NULL,NULL,NULL,148256800306,"2019-06-21 17:00:14","2019-06-21 17:00:14",0,148256800306,NULL,NULL,"smoke when it was spread in  Delhi its harmful effects pollution level and how it can be prevented",NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,79460959,NULL,NULL,2,12
532224,19560624,6,38374662,#doubt_forum,,NULL,NULL,NULL,473024219000,"2019-06-21 20:59:23","2019-06-21 20:59:23",0,473024219000,18214897,NULL,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,38374662,NULL,NULL,1,125
532274,18284043,6,11611260,#doubt_forum,"Question text
Rationalise the denominator of 7/(surd5&minus;surd2)?",NULL,NULL,NULL,150994519909,"2019-06-22 17:15:54","2019-06-22 17:15:54",0,150994519909,,NULL,"Question text
Rationalise the denominator of 7/(surd5−surd2)?",NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,11611260,NULL,NULL,1,125
532285,18284043,6,54454127,#doubt_forum,"can anyone solve these",NULL,NULL,NULL,676628174059,"2019-06-23 07:40:43","2019-06-23 07:40:43",0,676628174059,42060349,NULL,"can anyone solve these",NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,54454127,NULL,NULL,1,3
532286,18284043,6,13242546,#doubt_forum,,NULL,NULL,NULL,676628174059,"2019-06-23 07:42:07","2019-06-23 07:42:07",0,676628174059,13834715,NULL,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,13242546,NULL,NULL,1,3
532404,100000001,2,14238287,#doubt_forum,"Answer of question 7",NULL,NULL,NULL,821132902051,"2019-06-24 22:12:47","2019-06-24 22:12:47",0,821132902051,66290083,NULL,"Answer of question 7",NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,14238287,NULL,NULL,2,145
531341,21409234,5,18590207,#doubt_forum,"Which brand's bottle is this?",NULL,NULL,NULL,179729094205,"2019-06-11 18:32:17","2019-06-12 14:59:29",1,179729094205,21427921,NULL,"Which brand's bottle is this?",NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,18590207,NULL,NULL,3,154
531342,21409234,5,95551909,#doubt_forum,,NULL,NULL,NULL,179729094205,"2019-06-11 18:40:37","2019-06-12 14:59:02",1,179729094205,17884522,NULL,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,95551909,NULL,NULL,3,152
531344,21409234,5,10808427,#doubt_forum,"Searching via Text",NULL,NULL,NULL,179729094205,"2019-06-11 18:48:18","2019-06-12 14:59:43",1,179729094205,NULL,NULL,"Searching via Text",NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,10808427,NULL,NULL,3,152
531345,21409234,5,60993837,#doubt_forum,,NULL,NULL,NULL,211418627405,"2019-06-11 19:03:37","2019-06-11 19:04:06",1,211418627405,11690661,NULL,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,60993837,NULL,NULL,1,155
531346,21409234,5,73741541,#doubt_forum,"which monument is this?",NULL,NULL,NULL,567343329009,"2019-06-11 19:04:52","2019-06-12 15:00:01",1,567343329009,19050739,NULL,"which monument is this?",NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,73741541,NULL,NULL,1,2
531353,100000001,2,11417118,#doubt_forum,,NULL,NULL,NULL,128911230891,"2019-06-11 19:29:00","2019-06-12 15:00:21",1,128911230891,14548374,NULL,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,11417118,NULL,NULL,3,67
531354,100000001,2,46850554,#doubt_forum,,NULL,NULL,NULL,128911230891,"2019-06-11 19:29:37","2019-06-11 20:58:29",1,128911230891,15246630,NULL,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,46850554,NULL,NULL,3,150
531363,21409234,5,20191720,#doubt_forum,"new post for testing pls reply",NULL,NULL,NULL,211418627405,"2019-06-11 21:47:48","2019-06-12 14:59:15",1,211418627405,13268855,NULL,"new post for testing pls reply",NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,20191720,NULL,NULL,1,158
531364,100000001,2,14883400,#doubt_forum,bfjxbdbbdjd,NULL,NULL,NULL,274207351066,"2019-06-11 21:52:44","2019-06-12 14:58:38",1,274207351066,NULL,NULL,bfjxbdbbdjd,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,14883400,NULL,NULL,1,125
531365,100000001,2,15783603,#doubt_forum,,NULL,NULL,NULL,207866265504,"2019-06-11 22:30:34","2019-06-12 18:40:36",1,207866265504,15439707,NULL,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,15783603,NULL,NULL,2,20
531366,100000001,2,17649412,#doubt_forum,"what's the solution to this?",NULL,NULL,NULL,207866265504,"2019-06-11 22:32:57","2019-06-12 10:06:35",1,207866265504,10600058,NULL,"what's the solution to this?",NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,17649412,NULL,NULL,1,3
531367,100000001,2,21279172,#doubt_forum,,NULL,NULL,NULL,207866265504,"2019-06-11 22:39:39","2019-06-12 15:00:51",1,207866265504,95799908,NULL,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,21279172,NULL,NULL,1,44
