id,uuid,message_group,comment,parent_id,role,status,created,updated,is_verified,asset_set_code
10879,211418627405,13926719,,NULL,STU,1,"2019-06-13 14:49:04","2019-06-13 17:21:32",1,18369430
10903,144091104208,13926719,"this is the right answer.",NULL,GUEST,0,"2019-06-14 15:31:31","2019-06-14 15:31:43",NULL,NULL
10904,144091104208,13926719,"this can be the right answer.",NULL,GUEST,0,"2019-06-14 15:37:01","2019-06-14 15:41:15",NULL,NULL
10914,179729094205,15088797,ydghd,NULL,STU,0,"2019-06-14 17:03:16","2019-06-14 17:03:40",NULL,NULL
10915,179729094205,15088797,rjfjf,NULL,STU,0,"2019-06-14 17:03:26","2019-06-14 17:03:36",NULL,NULL
10916,567343329009,15088797,testing,NULL,TEA,0,"2019-06-14 19:41:47","2019-06-14 19:44:34",NULL,NULL
10917,567343329009,15088797,testing,NULL,TEA,0,"2019-06-14 19:44:52","2019-06-14 19:46:13",NULL,NULL
10925,144091104208,15088797,hello,NULL,GUEST,0,"2019-06-16 21:39:20","2019-06-16 21:39:27",NULL,NULL
10961,162159873109,15088797,,NULL,TEA,1,"2019-06-22 09:57:10","2019-06-22 09:57:10",NULL,69066249
10950,207866265504,70505440,"is the answer A?",NULL,GUEST,1,"2019-06-21 12:56:57","2019-06-21 12:56:57",NULL,NULL
10921,211418627405,82190304,,NULL,STU,0,"2019-06-15 19:49:58","2019-06-15 19:50:15",NULL,88679635
10922,211418627405,82190304,,NULL,STU,1,"2019-06-15 19:53:46","2019-06-15 19:53:46",NULL,15640897
10913,179729094205,17055661,test123,NULL,STU,0,"2019-06-14 17:02:50","2019-06-14 17:03:03",NULL,NULL
10933,179729094205,17055661,Answer,NULL,STU,0,"2019-06-18 17:29:35","2019-06-18 17:29:45",NULL,
10919,279367718003,69741901,,NULL,GUEST,1,"2019-06-14 21:22:53","2019-06-14 21:22:53",NULL,15950973
10944,676628174059,69741901,"Take CM and use-b+_root be sq.-4ac  by 2a",NULL,STU,0,"2019-06-20 09:35:25","2019-06-20 09:35:39",NULL,
10945,676628174059,69741901,"Take l. C. M and use -b +_ root bsq.- 4ac / 2a",NULL,STU,1,"2019-06-20 09:37:36","2019-06-20 09:37:36",NULL,
10966,125639223700,69741901,"that is a furmula",NULL,GUEST,1,"2019-06-23 08:51:32","2019-06-23 08:51:32",NULL,12896571
10957,567343329009,19686234,"In algebra, the factor theorem is a theorem linking factors and zeros of a polynomial. It is a special case of the polynomial remainder theorem.

The factor theorem states that a polynomial f(x) has a factor (x - k) if and only if f(k)=0 (i.e. k is a root).

For example : Find the factors of x^3 + 7x^2 + 8x + 2.

by putting x = -1 we can achieve (-1)^3 + 7(-1)^2 + 8(-1) + 2 => 0

so x - (-1) => (x+1) is a factor of above equation.",NULL,TEA,1,"2019-06-21 17:24:50","2019-06-21 17:24:57",1,
10932,211418627405,18647954,"Equation is wrong. It should be m² - n² = 4√mn.",NULL,STU,1,"2019-06-18 10:38:33","2019-06-21 17:26:10",1,10331915
10942,162159873109,14486345,"check if Leibnitz theorem can be used",NULL,TEA,1,"2019-06-19 14:11:12","2019-06-19 14:11:12",NULL,
10949,207866265504,19391387,"What is lausirus?",NULL,GUEST,1,"2019-06-21 12:53:28","2019-06-21 12:53:28",NULL,NULL
10946,154480899008,16424926,1,NULL,STU,1,"2019-06-20 18:03:14","2019-06-20 18:03:14",NULL,NULL
